datetime,total_demand_kwh,hp_load_kwh,simulated_demand_kwh,simulated_stress_event
2013-03-12 20:00:00,423.68,0.0,423.68,1
2013-01-07 18:30:00,383.614,40.0,423.614,1
2013-01-04 18:30:00,383.493,40.0,423.493,1
2014-02-13 19:30:00,383.417,40.0,423.417,1
2013-12-01 20:00:00,383.34,40.0,423.34,1
2013-02-02 19:30:00,383.194,40.0,423.194,1
2013-01-19 16:30:00,423.077,0.0,423.077,1
2013-01-20 13:30:00,423.027,0.0,423.027,1
2013-03-11 20:30:00,422.902,0.0,422.902,1
2014-02-14 19:00:00,382.803,40.0,422.803,1
2014-02-16 19:00:00,382.773,40.0,422.773,1
2013-12-24 19:00:00,382.58,40.0,422.58,1
2014-01-30 19:00:00,382.54,40.0,422.54,1
2014-02-09 19:00:00,382.508,40.0,422.508,1
2013-02-15 19:30:00,382.503,40.0,422.503,1
2013-12-05 19:00:00,382.48,40.0,422.48,1
2013-01-23 21:00:00,382.413,40.0,422.413,1
2013-01-16 21:30:00,382.338,40.0,422.338,1
2013-01-07 19:30:00,382.299,40.0,422.299,1
2013-02-18 19:00:00,382.093,40.0,422.093,1
2014-01-03 19:00:00,382.086,40.0,422.086,1
2013-02-01 19:00:00,382.072,40.0,422.072,1
2013-01-05 19:00:00,382.064,40.0,422.064,1
2013-01-18 17:30:00,421.986,0.0,421.986,1
2014-02-09 18:00:00,381.972,40.0,421.972,1
2013-01-27 18:00:00,381.967,40.0,421.967,1
2013-12-31 19:30:00,381.966,40.0,421.966,1
2013-12-24 19:30:00,381.812,40.0,421.812,1
2013-02-06 18:00:00,381.494,40.0,421.494,1
2013-01-04 19:00:00,381.407,40.0,421.407,1
2014-02-04 19:00:00,381.402,40.0,421.402,1
2013-02-09 20:30:00,381.294,40.0,421.294,1
2013-12-08 18:30:00,381.287,40.0,421.287,1
2013-03-11 18:30:00,421.159,0.0,421.159,1
2013-01-08 19:30:00,381.156,40.0,421.156,1
2013-01-29 18:30:00,381.021,40.0,421.021,1
2013-03-12 19:30:00,420.979,0.0,420.979,1
2013-01-25 21:00:00,380.849,40.0,420.849,1
2013-01-09 18:30:00,380.834,40.0,420.834,1
2013-02-14 19:30:00,380.639,40.0,420.639,1
2014-02-14 18:30:00,380.585,40.0,420.585,1
2013-02-11 21:30:00,380.563,40.0,420.563,1
2013-12-17 19:30:00,380.559,40.0,420.559,1
2013-02-28 18:30:00,380.275,40.0,420.275,1
2013-12-17 18:30:00,380.203,40.0,420.203,1
2014-01-25 19:00:00,380.191,40.0,420.191,1
2014-01-08 19:00:00,379.872,40.0,419.872,1
2013-01-21 21:30:00,379.827,40.0,419.827,1
2014-02-05 18:30:00,379.751,40.0,419.751,1
2013-01-09 20:00:00,379.747,40.0,419.747,1
2013-02-11 19:00:00,379.675,40.0,419.675,1
2014-02-04 19:30:00,379.647,40.0,419.647,1
2013-02-28 20:00:00,379.643,40.0,419.643,1
2013-03-12 19:00:00,419.569,0.0,419.569,1
2013-12-30 19:30:00,379.508,40.0,419.508,1
2013-02-11 18:30:00,379.461,40.0,419.461,1
2013-01-20 16:30:00,419.374,0.0,419.374,1
2013-12-23 18:00:00,379.167,40.0,419.167,1
2014-02-03 18:30:00,379.093,40.0,419.093,1
2013-02-12 21:30:00,378.999,40.0,418.999,1
2013-02-22 18:30:00,378.952,40.0,418.952,1
2013-01-19 14:00:00,418.919,0.0,418.919,1
2013-12-31 18:30:00,378.9,40.0,418.9,1
2013-01-27 20:30:00,378.794,40.0,418.794,1
2013-12-23 19:30:00,378.78,40.0,418.78,1
2014-01-10 18:30:00,378.772,40.0,418.772,1
2013-12-10 19:00:00,378.64,40.0,418.64,1
2013-12-08 19:00:00,378.633,40.0,418.633,1
2013-03-12 20:30:00,418.575,0.0,418.575,1
2014-02-11 19:30:00,378.426,40.0,418.426,1
2014-01-07 19:30:00,378.424,40.0,418.424,1
2013-02-17 20:00:00,378.129,40.0,418.129,1
2013-12-05 19:30:00,378.081,40.0,418.081,1
2014-01-14 19:30:00,378.042,40.0,418.042,1
2013-01-25 21:30:00,378.022,40.0,418.022,1
2014-01-30 18:30:00,377.968,40.0,417.968,1
2014-02-03 19:30:00,377.952,40.0,417.952,1
2014-01-29 19:30:00,377.944,40.0,417.944,1
2014-01-25 18:30:00,377.852,40.0,417.852,1
2014-01-02 19:30:00,377.62,40.0,417.62,1
